Event Date,Administrator,Program,Start Time,End Time,Event Duration,Zone/Network,Event/Test,Event Type
8/12/2016,Con Edison,DLRP,14:00,20:00,6:00,Ridgewood,Event,Contingency
8/12/2016,Con Edison,DLRP,14:00,20:00,6:00,Richmond Hill,Event,Contingency
8/12/2016,Con Edison,CSRP,14:00,18:00,4:00,All,Event,Planned
8/12/2016,Con Edison,CSRP,16:00,20:00,4:00,All,Event,Planned
8/12/2016,Con Edison,CSRP,19:00,23:00,4:00,All,Event,Planned
8/12/2016,NYISO,SCR,13:00,18:00,5:00,All,Event,
8/12/2016,Con Edison,DLC,14:00,20:00,6:00,Crown Heights,Event,Contingency
8/12/2016,Con Edison,DLC,14:00,20:00,6:00,Ridgewood,Event,Contingency
8/12/2016,Con Edison,DLC,14:00,20:00,6:00,Richmond Hill,Event,Contingency
8/12/2016,Con Edison,DLC,20:20,22:20,2:00,Fox Hills,Event,Immediate
8/12/2016,Con Edison,DLC,20:20,0:20,4:00,Fresh Kills,Event,Immediate
8/12/2016,Con Edison,DLC,12:00,16:00,4:00,Daytime Networks,Event,Planned
8/12/2016,Con Edison,DLC,16:00,20:00,4:00,Nighttime Networks,Event,Planned
8/12/2016,Con Edison,DLRP,17:00,22:00,5:00,Fox Hills,Event,Immediate
8/12/2016,Con Edison,DLRP,16:00,0:00,8:00,Fresh Kills,Event,Immediate
8/13/2016,Con Edison,DLRP,15:00,21:00,6:00,Crown Heights,Event,Contingency
8/13/2016,Con Edison,DLRP,15:00,21:00,6:00,Ridgewood,Event,Contingency
8/13/2016,Con Edison,DLRP,15:00,21:00,6:00,Richmond Hill,Event,Contingency
8/13/2016,Con Edison,DLRP,16:00,22:00,6:00,Sheepshead Bay,Event,Contingency
8/13/2016,NYISO,TDRP,14:00,20:00,6:00,Zone J4,Event,
8/13/2016,NYISO,TDRP,15:00,22:00,7:00,Zone J8,Event,
8/13/2016,NYISO,TDRP,16:00,20:00,4:00,Zone J3,Event,
8/13/2016,Con Edison,DLC,15:00,21:00,6:00,Crown Heights,Event,Contingency
8/13/2016,Con Edison,DLC,15:00,21:00,6:00,Ridgewood,Event,Contingency
8/13/2016,Con Edison,DLC,15:00,21:00,6:00,Richmond Hill,Event,Contingency
8/13/2016,Con Edison,DLC,16:00,22:00,6:00,Sheepshead Bay,Event,Contingency
8/13/2016,Con Edison,DLC,14:00,20:00,6:00,Fox Hills,Event,Immediate
8/13/2016,Con Edison,DLC,14:00,20:00,6:00,Fresh Kills,Event,Immediate
8/13/2016,Con Edison,DLC,16:40,22:40,6:00,Rockview,Event,Contingency
8/13/2016,Con Edison,DLRP,14:00,22:00,8:00,Fox Hills,Event,Immediate
8/13/2016,Con Edison,DLRP,14:00,22:00,8:00,Fresh Kills,Event,Immediate
8/14/2016,Con Edison,DLRP,16:00,22:00,6:00,Crown Heights,Event,Contingency
8/14/2016,Con Edison,DLRP,16:00,22:00,6:00,Ridgewood,Event,Contingency
8/14/2016,Con Edison,DLRP,16:00,22:00,6:00,Richmond Hill,Event,Contingency
8/14/2016,NYISO,TDRP,14:00,22:00,8:00,Zone J,Event,
8/14/2016,Con Edison,DLC,16:00,22:00,6:00,Crown Heights,Event,Contingency
8/14/2016,Con Edison,DLC,16:00,22:00,6:00,Ridgewood,Event,Contingency
8/14/2016,Con Edison,DLC,16:00,22:00,6:00,Richmond Hill,Event,Contingency
8/14/2016,Con Edison,DLC,14:00,19:00,5:00,Daytime Networks,Event,
8/14/2016,Con Edison,DLC,16:00,21:00,5:00,Nighttime Networks,Event,
8/15/2016,Con Edison,DLRP,15:00,21:00,6:00,Crown Heights,Event,Contingency
